file,question,answer,answer_start,answer_end
1345136.txt,ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน ไร้ใบตราสาร,ไม่มีการรวมศูนย์อย่างตราสารภาครัฐ แต่ส่วนใหญ่ดำเนินการโดยศูนย์รับฝากหลักทรัพย์ (TSD),7716,7799
1345195.txt,Penny Stock หุ้นเหรียญ มีลักษณะอย่างไร,"*	หุ้นที่มีราคาซื้อขายต่อหน่วยต่ำ (ในสหรัฐฯ คือ ราคาต่ำว่า 5 ดอลลาร์, ในสหราชอาณาจักร United Kingdom คือ ต่ำว่า 1 ปอนด์)",3019,3138
1345200.txt,ราคาต้นงวดคืออะไร,ราคาต้นทุนหรือราคาซื้อ,501,522
1345179.txt,อัตราการใช้สิทธิของ NVDR คือเท่าไหร่,1 : 1 (NVRD : สินทรัพย์อ้างอิง) เสมอ,1012,1047
1345158.txt,หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) คืออะไร,เอกสารที่ให้ข้อมูลที่สำคัญกับผู้ลงทุน,1116,1152
1345171.txt,ข้อสัญญา (Covenants) คืออะไร,พันธสัญญาที่ผู้ออกตราสารให้ผู้ลงทุนเพื่อเพิ่มความมั่นใจให้กับผู้ลงทุนมากยิ่งขึ้น,892,971
1345185.txt,XT คืออะไร,ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิได้รับ TSR,1165,1203
1345175.txt,Equity-Linked Product  คืออะไร,ถือเป็นตราสารอนุพันธ์ (Derivative) ประเภทหนึ่ง ที่มีลักษณะเป็นสัญญาที่ให้สิทธิในการซื้อหรือขายตราสารทุนที่อ้างอิง (Underlying Equity) ในระยะเวลาที่กำหนด ดังนั้นผลตอบแทนและมูลค่าของ Equity-Linked Product จึงขึ้นลงตามมูลค่าของตราสารทุนที่อ้างอิง,241,483
1345185.txt,หลักเกณฑ์การขึ้นเครื่องหมาย  SP มีอะไรบ้าง,"*	เมื่อขึ้นเครื่องหมาย H แล้วแต่บริษัทไม่สามารถให้ข้อมูลกับตลาดฯ ได้ในทันที
			*	บริษัทไม่ปฏิบัติตามกฎหมายเกี่ยวกับหลักทรัพย์และตลาดหลักทรัพย์
			*	บริษัทไม่ส่งงบการเงินภายในเวลาที่ตลาดฯ กำหนด
			*	หลักทรัพย์อยู่ระหว่างการพิจารณาเพิกถอนออกจากตลาดฯ
			*	หลักทรัพย์อยู่ระหว่างการพิจารณาให้พ้นจากการเข้าข่ายถูกเพิกถอน
			*	หลักทรัพย์ (เช่น Warrant) จะครบกำหนดสัญญา
			*	มีเหตุการณ์ร้ายแรงที่อาจจะส่งร้ายแรงต่อการซื้อขายหลักทรัพย์",2825,3250
1345158.txt,รายละเอียด เสนอขายกองทุนครั้งแรก (Initial Public Offering: IPO) มีอะไรบ้าง,"*	ต้องแจกจ่ายหนังสือชี้ชวนเพื่อเป็นข้อมูลประกอบการตัดสินใจให้ผู้ลงทุน
			*	ปกติราคาเสนอขายครั้งแรก คือ 10 บาท
			*	ระยะเวลาเสนอขายครั้งแรกต้องไม่น้อยกว่า 2 วัน",1542,1700
1345160.txt,ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ในไทย มีอะไรบ้าง,"-	เป็นกองทุนรวมหน่วยลงทุน ที่นำเงินไปลงทุนในกองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศ
				-	กองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศที่เข้าลงทุน ส่วนใหญ่มีนโยบายการบริหารแบบเชิงรับ (Passive Management)",7131,7320
1345138.txt,ผู้ออกตั๋วเงินคลัง คือผู้ใด,กระทรวงการคลัง,2045,2058
1345150.txt,รูปแบบของกระแสเงินสด มีกี่รูปแบบ,3 รูปแบบ,1921,1928
1345158.txt,ประโยชน์ของกองทุนรวมต่อด้านตลาดการเงิน คืออะไร,"*	เพิ่มเครื่องมือการลงทุน
		*	ขยายกลุ่มผู้ลงทุนใหม่ๆ
		*	เกิดการขยายตัวของตลาดการเงิน",3315,3399
1345138.txt,สำนักหักบัญชี ทำหน้าที่อะไร,เป็นคนกลาง (Counter Party) ในการชำระราคาและส่งมอบหลักทรัพย์,3849,3907
1345158.txt,หนังสือชี้ชวนส่วนข้อมูลโครงการ คืออะไร,เอกสารที่มีข้อมูลที่เกี่ยวข้องกับกองทุนรวม,831,872
1345160.txt,Feeder Fund คืออะไร,กองทุนรวมที่เน้นลงทุนในกองทุนรวมใดกองทุนหนึ่ง ≥80%,14133,14182
1345177.txt,อายุของตราสาร ของ Warrant (ไทย) คือเท่าไหร่,2 – 10 ปี,1286,1294
1345191.txt,SETSMART on Internet มีอะไรบ้าง,"*	สำหรับผู้ใช้งานรายย่อย หรือนักศึกษา
			*	ใช้งานผ่าน Internet
			*	มีทั้งแบบให้ข้อมูล 3 ปีย้อนหลัง และ 5 ปี ย้อนหลัง",863,979
1345183.txt,หลักการสำคัญในการคำนวณราคาเปิดและราคาปิด คืออะไร,ต้องเป็นราคาที่ทำให้เกิดปริมาณการซื้อขายสูงสุด,1854,1899
1345142.txt,สมมติฐานการนำดอกเบี้ยรับไปลงทุนต่อ คืออะไร,ผู้ลงทุนจะนำดอกเบี้ยที่ได้รับไปลงทุนต่อ ซึ่งได้อัตราผลตอบแทนเท่ากับอัตราผลตอบแทนของตราสารหนี้เดิม,1047,1143
1345191.txt,SETSMART on Extranet มีอะไรบ้าง,"*	สำหรับผู้ใช้งานองค์กร
			*	ใช้งานผ่านเครือข่าย Extranet ของตลาดหลักทรัพย์ฯ",757,832
1345158.txt,บริหารแบบเชิงรุกมีความเชื่ออย่างไร,ตลาดหลักทรัพย์ไม่มีประสิทธิภาพ,6074,6103
1345160.txt,LTF มีนโยบายการลงทุน อย่างไร,ต้องเป็นกองทุนที่ลงทุนในหุ้นไทย ≥65% ของสินทรัพย์สุทธิของกองทุน,14640,14702
1345154.txt,การซื้อแล้วถือยาว (Buy and Hold Strategy) มีวิธีการอย่างไร,"*	เป็นการซื้อและถือลงทุนระยะยาว
	*	เชื่อว่าการเลือกบริษัทที่ดีแล้วถือยาว จะให้ผลตอบแทนที่ดีกว่าการซื้อขายบ่อยๆ
	อัตราผลตอบแทนจากเงินปันผล (Dividend Yield)  = เงินปันผล / ราคาหุ้น
	อัตราการจ่ายเงินปันผล   (Dividend Payout Ratio)  = เงินปันผล / กำไร",1129,1375
1345201.txt,ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีกี่ระดับ,2 ระดับ,1592,1598
1345158.txt,บริหารแบบเชิงรุก มีวิธีการลงทุนอย่างไร,วิเคราะห์ข้อมูลและตัดสินใจลงทุน,6029,6059
1345173.txt,ตราสารหนี้แบ่งตามสิทธิแฝง มีอะไรบ้าง,"ตราสารหนี้ที่ผู้ออกมีสิทธิไถ่ถอนคืนก่อนครบกำหนด (Callable Bond)
		ตราสารหนี้ที่ผู้ลงทุนมีสิทธิเรียกคืนเงินกู้ก่อนครบกำหนด (Puttable Bond)
		หุ้นกู้แปลงสภาพ (Convertible Bond)",1029,1202
1345195.txt,Mid-cap Stock (หุ้นกลาง) คืออะไร,หุ้นลำดับที่ 51 – 100 ใน ดัชนี SET100 (ดัชนี SET 100 คือ ดัชนีที่ประกอบด้วยหุ้นไทยที่มีขนาดใหญ่ที่สุด 100 บริษัท ที่มีสภาพคล่องในการซื้อขาย),3375,3514
1345160.txt,กองทุนรวมตราสารทุน (Equity Fund) คืออะไร,"เน้นลงทุนในตราสารทุน เช่น หุ้นสามัญ, หุ้นบุริมสิทธิ, ใบสำคัญแสดง โดยจะลงทุน ≥80% ของสินทรัพย์สุทธิของกองทุน",6110,6216
1345183.txt,16.30 – 16.40 น. มีรายละเอียดอย่างไร,Pre-close (ก่อนปิดตลาดบ่าย) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงบ่าย จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการปิดตลาด (Random) ในช่วง 16.35 – 16.40 น.,719,875
1345138.txt,ผู้ที่ออกตั๋วแลกเงินและ หุ้นกู้ คือผู้ใด,บริษัทเอกชน,2199,2209
1345173.txt,Floor คืออะไร,การกำหนดอัตราดอกเบี้ยขั้นต่ำ เพื่อให้ผู้ลงทุนใช้ป้องกันความเสี่ยง ไม่ให้อัตราดอกเบี้ยลดลงต่ำกว่าระดับผลตอบแทนขั้นต่ำที่ตนเองต้องการ,4240,4370
1345171.txt,CB คืออะไร,Central Bank Bill พันธบัตรระยะสั้นที่ออกโดยธนาคารแห่งประเทศไทย,1774,1835
1345156.txt,กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คืออะไร,กลยุทธ์การกระจายการลงทุนไปยังกองทุนที่ลงทุนในสินทรัพย์หลากหลายประเภท เพื่อสร้างกลุ่มสินทรัพย์หรือพอร์ตการลงทุนที่เหมาะสมกับผู้ลงทุน,131,261
1345160.txt,กองทุนที่ได้สิทธิประโยชน์ทางภาษีในปัจจุบันมีกองทุนอะไรบ้าง,1. กองทุนรวมหุ้นระยะยาว (Long-term equity fund: LTF)  2. กองทุนรวมเพื่อการเลี้ยงชีพ (Retirement mutual fund: RMF),14384,14496
